sample,time,sensor_value
458,10283,679
459,10304,680
460,10326,679
461,10347,679
462,10368,679
463,10389,680
464,10411,680
465,10432,680
466,10454,680
467,10475,680
468,10496,680
469,10517,680
470,10539,681
471,10560,681
472,10582,681
473,10603,681
474,10624,681
475,10645,681
476,10667,681
477,10688,682
478,10710,681
479,10731,681
480,10752,682
481,10773,682
482,10795,682
483,10816,681
484,10838,683
485,10859,682
486,10880,683
487,10901,683
488,10923,683
489,10944,683
490,10966,683
491,10987,683
492,11008,683
493,11029,684
494,11051,684
495,11072,684
496,11094,684
497,11115,684
498,11136,683
499,11157,685
