0,774
1,773
2,773
3,773
4,773
5,773
6,762
7,753
8,708
9,690
10,682
11,694
12,683
13,645
14,634
15,622
16,616
17,610
18,596
19,586
20,574
21,558
22,550
23,537
24,530
25,519
26,501
27,494
28,483
29,472
30,462
31,452
32,441
33,426
34,416
35,410
36,438
37,421
38,418
39,415
40,401
41,392
42,386
43,371
44,363
45,355
46,349
47,336
48,329
49,322
50,311
51,303
52,294
53,286
54,277
55,266
56,260
57,255
58,249
59,240
60,236
61,227
62,224
63,219
64,212
65,206
66,199
67,194
68,190
69,185
70,180
71,170
72,167
73,162
74,158
75,151
76,145
77,141
78,139
79,136
80,133
